headline,brand_extracted,farbe_filled,storage_gb
ASUS G56JR-CN169H ,ASUS,Schwarz,16.0
LENOVO IdeaPad Yoga2 Pro 13 Orange,LENOVO,Orange,8.0
LENOVO IdeaPad Flex2-15 schwarz,LENOVO,Schwarz,8.0
LENOVO IdeaPad Flex2-15 schwarz,LENOVO,Schwarz,8.0
LENOVO IdeaPad Yoga2 Pro 13 Orange,LENOVO,Orange,8.0
LENOVO IdeaPad Yoga2 Pro 13 Silber,LENOVO,Silber,8.0
Lenovo IdeaPad Yoga2 Pro silber,Lenovo,Silber,8.0
LENOVO IdeaPad Yoga2 13 Silber,LENOVO,Silber,8.0
Acer Aspire E3-111-25U1,Acer,Pink,4.0
LENOVO Yoga2 13 Silber,LENOVO,Silber,8.0
LENOVO Yoga 3 Pro Silber,LENOVO,Silber,8.0
LENOVO Yoga 3 Pro Silber,LENOVO,Silber,8.0
LENOVO Yoga 3 Pro Orange,LENOVO,Orange,8.0
LENOVO Yoga 3 Pro Gold,LENOVO,Gold,8.0
LENOVO Yoga 3 Pro Orange,LENOVO,Orange,8.0
LENOVO Yoga 3 Pro Gold,LENOVO,Gold,8.0
Toshiba Satellite Pro C70-B-14H,Toshiba,Schwarz,8.0
Lenovo Yoga 3 14 silber,Lenovo,Silber,8.0
Lenovo Yoga 3 14 weiss,Lenovo,Weiß,8.0
LENOVO Yoga 3 Pro Silber,LENOVO,Silber,8.0
LENOVO Yoga 3 Pro Orange,LENOVO,Orange,8.0
LENOVO Yoga 3 Pro Silber,LENOVO,Silber,8.0
LENOVO Yoga 3 Pro Silber,LENOVO,Silber,8.0
LENOVO Yoga 3 Pro Orange,LENOVO,Orange,8.0
LENOVO Yoga 500 schwarz,LENOVO,Schwarz,8.0
LENOVO Yoga 500 weiss,LENOVO,Weiß,8.0
LENOVO Yoga 500 schwarz,LENOVO,Schwarz,8.0
Sony SV-E1713C1E/B ,Sony,Schwarz,
Sony SV-E1713Y1E/B ,Sony,Schwarz,
Sony SV-F15A1Z2E/S ,Sony,Silber,8.0
Sony SV-F1421P2E/B ,Sony,Schwarz,4.0
Sony SV-F1421P2E/W ,Sony,Weiß,4.0
Sony SV-F1521P2E/B ,Sony,Schwarz,4.0
Sony SV-F1521P2E/B ,Sony,Weiß,4.0
Sony SV-F1521W1E/B ,Sony,Schwarz,8.0
Sony SV-P1321M2E/B ,Sony,Schwarz,4.0
Toshiba Satellite Pro C70-A-10J ,Toshiba,Schwarz,4.0
Toshiba Satellite Pro C70-A-11Q ,Toshiba,Schwarz,4.0
Toshiba Satellite Pro C50-A-169 ,Toshiba,Schwarz,4.0
"WD NAS 1TB SATA 3,5""",WD,Rot,1024.0
"WD NAS 2TB SATA 3,5""",WD,Rot,2048.0
"WD NAS 3TB SATA 3,5""",WD,Rot,3072.0
Trust Carve Optische Maus Mit USB Schwarz,Trust,Schwarz,
"HP ENVY 15-j011sg Notebook 39.6 cm (15.6"") Full HD Silver Aluminium Soft ",HP,Silber,
"HP ENVY 15-J013SG Notebook 39.6 cm (15.6"") Full-HD Silver Aluminium Soft ",HP,Silber,
"Western Digital 4TB SATA 3,5"" WD40EFRX Red™ Serie",Western,Rot,4096.0
WD Red™ Mobile 750GB SATA-III WD7500BFCX,WD,Rot,750.0
WD Red™ Mobile 1 TB SATA-III WD10JFCX,WD,Rot,1024.0
Keysonic ACK-3400U USB Tastatur,Keysonic,Schwarz,
Western Digital My Passport® Slim 3.0 1TB Silber,Western,Silber,1024.0
"Sony Vaio Fit 15E-Serie SVF1521F2EW Touchscreen-Notebook 39,5 cm (15,5"") Weiß ",Sony,Weiß,
"Sony Vaio Fit 15E-Serie SVF1521V6EB Notebook 39,5 cm (15,5"") Schwarz",Sony,Schwarz,
"Samsung ATIV Book 9 Lite 915S3G-K02DE Touch-Notebook 33,78cm (13,3"") Marble Weiß",Samsung,Weiß,128.0
"Lenovo Ideapad G700 Business Notebook 43.9 cm (17.3"") Schwarz mit Windows® 8 Professional (64 Bit)",Lenovo,Schwarz,
"Lenovo Ideapad G700 Business Notebook 43.9 cm (17.3"") Schwarz Windows® 8 Professional (64 Bit)",Lenovo,Schwarz,
Western Digital My Book 3.0 3TB,Western,,3072.0
"USB-Kfz-Ladegerät 5 V/2,4 A",USB-Kfz-Ladegerät,Schwarz,
Hama Knallbunt 2.0 Blau,Hama,Blau,
Hama Knallbunt 2.0 Rot,Hama,Rot,
Hama Knallbunt 2.0 Gelb,Hama,Gelb,
"Western Digital 2TB SATA 3,5"" WD2003FZEX Desktop Black",Western,Schwarz,2048.0
"Western Digital 1TB SATA 3,5"" WD1003FZEX Desktop Black",Western,Schwarz,1024.0
"Western Digital 4TB SATA 3,5"" WD4003FZEX Desktop Black",Western,Schwarz,4096.0
"Western Digital 3TB SATA 3,5"" WD3003FZEX Desktop Black",Western,Schwarz,3072.0
Buffalo DriveStation Mini Thunderbolt 512GB,Buffalo,,512.0
Buffalo DriveStation Mini Thunderbolt 1TB,Buffalo,,1024.0
WD Elements 2TB USB 3.0,WD,,2048.0
WD Elements 3TB USB 3.0,WD,,3072.0
Huawei Ascend Y300 im Tarif Congstar Smart M,Huawei,,4.0
